route_id,start_location,end_location,transport_mode,filename
477b1847-ab0a-48b8-abe5-6546257fcf55,Lovina,Banyuwedang Hotspring,auto,477b1847-ab0a-48b8-abe5-6546257fcf55.geojson
123e6f09-a8b5-4050-ac2c-d72122be9214,Lovina,Brahma Vihara Arama,auto,123e6f09-a8b5-4050-ac2c-d72122be9214.geojson
694da3b8-ee12-4fb6-9b00-485784a540a5,Lovina,Banjar Hot Spring,auto,694da3b8-ee12-4fb6-9b00-485784a540a5.geojson
4204c93a-5911-45d3-a3ba-e6eb681fd834,Candi Dasa,"PF7J+5VM, Ban, Kubu, Karangasem Regency, Bali 80853, Indonesia",auto,4204c93a-5911-45d3-a3ba-e6eb681fd834.geojson
bef60e72-8558-42bd-955a-73d3b7772ed7,Ubud,Setra Dalem Puri Peliatan,auto,bef60e72-8558-42bd-955a-73d3b7772ed7.geojson
827072c7-4949-4b60-a127-d60d926134f3,Ubud,Sacred Monkey Forest Sanctuary,auto,827072c7-4949-4b60-a127-d60d926134f3.geojson
fae5995b-3aa2-4fa1-833b-aa8cae50c3d6,Banjuwedang,Menjangan Island,boat,boat_menjangan.geojson
996137b7-6d40-45d5-927f-27afc718f240,Banyuwedang Hotspring,Menjangan ferry,auto,996137b7-6d40-45d5-927f-27afc718f240.geojson
b0e1174e-f698-4fb2-a594-1a69fd270b5a,Kintamani,Jalur Daki Batur,auto,b0e1174e-f698-4fb2-a594-1a69fd270b5a.geojson
e84782a5-c23a-451c-97e9-d092e3ec5137,"Kalalau Trail, Kauai","Kalalau Trail, Kauai",hike,hike_kalalau.geojson
0890e2a1-f560-4cb0-88f8-535b0b03e4de,"Pihea Trail, Kauai","Pihea Trail, Kauai",hike,hike_kauai_pihea.geojson
0ef4fddb-344e-4eee-b840-1836c52d0845,"Mahaulepu Trail, Kauai","Mahaulepu Trail, Kauai",hike,hike_kauai_mahaulepu.geojson
94992735-230b-4d4f-b6e4-0f7ce076732b,Kahului,Hana Highway,auto,94992735-230b-4d4f-b6e4-0f7ce076732b.geojson
79d5938c-e5b7-4e22-b652-908eef6a733c,Hana Highway,Ka'eleku,auto,79d5938c-e5b7-4e22-b652-908eef6a733c.geojson
2f420c5b-b74c-4f57-b173-ac5eac63b6a0,Kahului,Wailea,auto,2f420c5b-b74c-4f57-b173-ac5eac63b6a0.geojson
